PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39939258,Machine learning techniques to predict diabetic ketoacidosis and HbA1c above 7% among individuals with type 1 diabetes - A large multi-centre study in Australia and New Zealand.,2025/Jan/09,None,None,arul.earnest@monash.edu.
39934993,Recent Advances in Diagnostics and Therapeutics for Paediatric Thyroid Cancer.,2025/Feb/11,None,None,None
39925093,Short-Term Diabetic Retinopathy Status in People with Type 1 Diabetes Commencing Automated Insulin Delivery.,2025/Feb/10,"Abraham, Mary B; Jones, Timothy W","Children's Diabetes Centre, The Kids Research Institute and Perth Children's Hospital, Perth, Australia.; Children's Diabetes Centre, The Kids Research Institute and Perth Children's Hospital, Perth, Australia.",None
39885386,"Is maternal diabetes during pregnancy associated with neurodevelopmental, cognitive and behavioural outcomes in children? Insights from individual participant data meta-analysis in ten birth cohorts.",2025/Jan/30,"Pretorius, Rachelle A; Ibarluzea, Jesús; Huang, Rae-Chi","Nutrition & Health Innovation Research Institute, Edith Cowan University, Perth, WA, Australia. r.pretorius@ecu.edu.au.; Biogipuzkoa Health Research Institute, Environmental Epidemiology and Child Development San Sebastian, Madrid, Spain.; Nutrition & Health Innovation Research Institute, Edith Cowan University, Perth, WA, Australia.",r.pretorius@ecu.edu.au.
39872023,Preterm Labor and Hypertensive Disorders in Adolescent Pregnancies With Diabetes Between 2006 and 2019.,2024,None,None,None
39858880,Evaluation of Faecal Microbiota Following Probiotics in Infants of Mothers with Gestational Diabetes Mellitus Trial: Protocol for Double-Blind Placebo-Controlled Randomized Trial.,2025/Jan/08,"Mishra, Archita","The Kids Research Institute, Perth, WA 6009, Australia.",None
39849550,Involving national stakeholders in a systems approach to map drivers of childhood obesity and actions to prevent childhood obesity in Denmark: the Generation Healthy Kids Study.,2025/Jan/22,None,None,knudryom@ph.au.dk.
39848337,A New Mediterranean Lifestyle Pyramid for Children and Youth: A Critical Lifestyle Tool for Preventing Obesity and Associated Cardiometabolic Diseases in a Sustainable Context.,2025/Jan/21,"Bajoub, Aadil; Varela-Moreiras, Gregorio","Laboratory of Food and Food By-Products Chemistry and Processing Technology, Ecole Nationale d'Agriculture de Meknès (ENAM), Meknes, Morocco.; Department of Pharmaceutical and Health Sciences, Faculty of Pharmacy, CEU San Pablo University, Madrid, Spain.",restruch@clinic.cat.
39839483,Family planning and preimplantation testing: family experiences in congenital adrenal hyperplasia.,2024,None,None,None
39821270,Strong Association of Autoantibodies Targeting Deamidated Extracellular Epitopes of Insulinoma Antigen-2 (IA-2) with Clinical Onset of Type 1 Diabetes.,2025/Jan/16,None,None,None
39797667,"Six months of hybrid closed-loop therapy improves diabetes-specific positive well-being, and reduces diabetes distress and fear of hypoglycemia: secondary analysis of a randomized controlled trial.",2024/Dec/22,None,None,j.halliday@deakin.edu.au.
39759601,Assessment of the Antimicrobial Effect of Momordica charantia (Bitter Gourd Oil) on Periodontal Pathogens: An In Vitro Study.,2024,None,None,None
39747377,"Impact of the severe acute respiratory syndrome coronavirus 2 pandemic on the incidence of type 1 diabetes mellitus in children in Yamanashi, Japan.",2025/Jan/02,None,None,tosaito@yamanashi.ac.jp.
39722555,Assessing the Use and Acceptability of Virtual Reality to Assist Coping in Children Undergoing Clinical Procedures.,2025,None,None,None
39703363,Disparities in Diabetes Technology Uptake in Youth and Young Adults With Type 1 Diabetes: A Global Perspective.,2024/Nov/26,"Honda-Kohmo, Kyoko; Peddi, Anil Kumar; Lo, Ching-Nien; Kim, Wondong; Hong, Kwanho","Division of Preventative Healthcare, National Cerebral and Cardiovascular Center, Suita, Osaka 564-8565, Japan.; Technical Head, Cgenic Meditech Pvt Ltd, Gujarat 390020, India.; GM Office, EPS BIO Technology Corp., Hsinchu 30076, Taiwan.; Management (Including R&D Director), CareforU Co., Ltd., 14042 Anyang, Korea.; Management (Marketing & Development), CareforU Co., Ltd., 14042 Anyang, Korea.",None
39695503,The relationship between non-communicable disease risk and mental wellbeing in adolescence: a cross-sectional study utilising objective measures in Indonesia.,2024/Dec/18,"Cini, Karly I; Dumuid, Dorothea; Francis, Kate L; Sawyer, Susan M; Kennedy, Elissa C; Azzopardi, Peter S","Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia. Karly.cini@mcri.edu.au.; Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia.; Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia.; Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia.; Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia.; Centre for Adolescent Health, Murdoch Children's Research Institute, Melbourne, Australia.",Karly.cini@mcri.edu.au.
39675348,ISPAD Clinical Practice Consensus Guidelines 2024: Type 2 Diabetes in Children and Adolescents.,2024/Dec/14,"Peña, Alexia S; Wicklow, Brandy; Mahmud, Farid H","Robinson Research Institute and Women's and Children's Hospital, The University of Adelaide, North Adelaide, South Australia, Australia.; Division of Endocrinology, Children's Hospital Research Institute of Manitoba, Winnipeg Children's Hospital and University of Manitoba, Winnipeg, Manitoba, Canada.; Division of Endocrinology, Hospital for Sick Children, Sick Kids Research Institute, Temerty Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada.",None
39657609,The Use of Automated Insulin Delivery around Physical Activity and Exercise in Type 1 Diabetes: A Position Statement of the European Association for the Study of Diabetes (EASD) and the International Society for Pediatric and Adolescent Diabetes (ISPAD).,2024/Dec/10,"Rabasa-Lhoret, Remi; Yardley, Jane E","Montreal Clinical Research Institute (IRCM), Montreal, Québec, Canada.; Montreal Clinical Research Institute (IRCM), Montreal, Québec, Canada.",None
39653802,The use of automated insulin delivery around physical activity and exercise in type 1 diabetes: a position statement of the European Association for the Study of Diabetes (EASD) and the International Society for Pediatric and Adolescent Diabetes (ISPAD).,2025,"Rabasa-Lhoret, Rémi; Yardley, Jane E","Montreal Clinical Research Institute (IRCM), Montreal, QC, Canada.; Montreal Clinical Research Institute (IRCM), Montreal, QC, Canada.",othmar.moser@uni-bayreuth.de.
39645377,"Burden of disease scenarios by state in the USA, 2022-50: a forecasting analysis for the Global Burden of Disease Study 2021.",2024/Dec/07,None,None,None
39645376,"The burden of diseases, injuries, and risk factors by state in the USA, 1990-2021: a systematic analysis for the Global Burden of Disease Study 2021.",2024/Dec/07,None,None,None
39636875,Generation Healthy Kids: Protocol for a cluster-randomized controlled trial of a multi-component and multi-setting intervention to promote healthy weight and wellbeing in 6-11-year-old children in Denmark.,2024,None,None,None
39611061,Parental experiences of using continuous glucose monitoring in their young children with early-stage type 1 diabetes: a qualitative interview study.,2024,"Penno, Megan A S; Anderson, Amanda J; McGorm, Kelly J; Couper, Jennifer J","The University of Adelaide, Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.; The University of Adelaide, Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.; The University of Adelaide, Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.; The University of Adelaide, Robinson Research Institute, Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.",None
39601386,Results of an Australian trial of an automated insulin delivery (AID) system and other studies support likely benefit of AID use for many Australian adults with type 1 diabetes.,2025,None,None,None
39592472,Risk factors for substantial weight retention at 1 year postpartum: evidence from a German birth cohort study (KUNO-Kids).,2024/Nov/27,None,None,sofia.quaderer@student.ur.de.
39587420,Real-world glycaemic outcomes in children and young people on advanced hybrid closed-loop therapy: A population-based study in Western Australia.,2025,"Smith, Grant J","Children's Diabetes Centre, The Kids Research Institute, Perth, Western Australia, Australia.",None
39563295,Feasibility and acceptability of school-based intervention components to promote healthy weight and well-being among 6-11-year-olds in Denmark: mixed methods findings from the Generation Healthy Kids feasibility study.,2024/Nov/19,None,None,linlu@sdu.dk.
39521576,"Withdrawal notice to: Impact of Provision of Abdominal Aortic Calcification Results on Cardiovascular Risk Reducing Behaviours: A 12-Week RCT [Heart, Lung and Circulation, Volume 33, Supplement 4, August 2024, Page S357].",2024,"Radavelli Bagatini, S; Bondonno, C; Dalla Via, J; Sim, M; Gebre, A; Blekkenhorst, L; Connolly, E; Bondonno, N; Dimmock, J; Devine, A; Williams, E; Wood, L; Sim, M; Hodgson, J; Lewis, J","Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; Danish Cancer Institute, Copenhagen, Denmark.; Department of Psychology, College of Healthcare Sciences, James Cook University, Qld, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; School of Biomedical Science and Pharmacy, The University of Newcastle, Newcastle, NSW, Australia.; School of Biomedical Science and Pharmacy, The University of Newcastle, Newcastle, NSW, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia.; Nutrition & Health Innovation Research Institute, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, Australia; School of Medicine, University of Western Australia, Perth, WA, Australia; Centre for Kidney Research, Children's Hospital at Westmead, School of Public Health, Sydney Medical School, The University of Sydney, Sydney, NSW, Australia.",None
39482430,Diabetes risk soars for adults who had a sweet tooth as kids.,2024/Oct/31,None,None,None
39477277,Breadth and visibility of children's lower limb chronic musculoskeletal pain: a scoping review.,2024/Oct/29,None,None,cylie.williams@monash.edu.
39474071,Mesothelioma survival prediction based on a six-gene transcriptomic signature.,2024/Oct/18,None,None,None
