PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39915844,Prevalence and determinants of HIV testing-seeking behaviors among women of reproductive age in Tanzania: analysis of the 2022 Demographic and health survey.,2025/Feb/06,"Asingwire, Jackson Micheal; Mwesigwa, Aaron; Olot, Haron; Agunwa, Blessing Onyinyechi; Bwana, Abdul Aziiz; Kalemba, William Yiga","Department of Pharmaceutical Sciences, Faculty of Health Sciences, Marwadi University, Rajkot, Gujarat, 360003, India.; Department of Pharmaceutical Sciences, Faculty of Health Sciences, Marwadi University, Rajkot, Gujarat, 360003, India.; School of Pharmacy, Kampala International University, Bushenyi City, Western Uganda, Uganda.; Department of Pharmaceutical Sciences, Faculty of Health Sciences, Marwadi University, Rajkot, Gujarat, 360003, India.; Department of Pharmaceutical Sciences, Faculty of Health Sciences, Marwadi University, Rajkot, Gujarat, 360003, India.; Department of Pharmaceutical Sciences, Faculty of Health Sciences, Marwadi University, Rajkot, Gujarat, 360003, India.",isaacisiko12@gmail.com.
39521908,Survey of the risk behaviors and mental health of adolescents in Gabon risky behaviors and vulnerability of adolescent Africans.,2024/Nov/09,"Djoba Siawaya, Joel Fleury; Avome Houechenou, Rotimi Myrabelle; Efire Emagha, Nora Sylvana; Moukambi, Lydie Armelle; Maloupazoa Siawaya, Anicet Christel; Mveang Nzoghe, Amandine; Mvoundza Ndjindji, Ofilia","Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon. joel.djoba@lnsp.ga.; Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon.; Unités de Recherche et de Diagnostics Spécialisés, Laboratoire National de Santé Publique, BP. 10 736, Libreville, Gabon.; Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon.; Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon.; Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon.; Service Laboratoire, Centre Hospitalier Universitaire Mère-Enfant Fondation Jeanne EBORI, BP. 212, Libreville, Gabon.",joel.djoba@lnsp.ga.
39245062,Optimising HIV spending in 12 eastern European and central Asian countries: a modelling study.,2024,None,None,debra.tenbrink@gmail.com.
39240300,"""I Have to Stand Up on My Own and Do the Best I Can for My Kids""",2024,None,None,mamaswatsi_kopeka@alumni.brown.edu.
39181146,Community-based mpox and sexually transmitted disease surveillance using discarded condoms in the global south.,2024,"Fernandez, Stefan; Ragupathi, Naveen Kumar Devanga; Furukawa, Takashi; Sei, Kazunari","Department of Virology, U.S. Army Medical Directorate, Armed Forces Research Institute of Medical Sciences, Bangkok, Thailand.; Biofilms and Antimicrobial Resistance Consortium of ODA receiving countries, The University of Sheffield, Sheffield, UK; Division of Microbial Interactions, Department of Research and Development, Bioberrys Healthcare and Research Centre, Vellore, India.; Laboratory of Environmental Hygiene, Department of Health Science, School of Allied Health Sciences/Graduate School of Medical Sciences, Kitasato University, Kitasato, Sagamihara-Minami, Kanagawa, Japan.; Laboratory of Environmental Hygiene, Department of Health Science, School of Allied Health Sciences/Graduate School of Medical Sciences, Kitasato University, Kitasato, Sagamihara-Minami, Kanagawa, Japan.",abeshu@icloud.com.
38713828,Evaluation of Pediatric HIV Postexposure Prophylaxis Guideline Following Child Sexual Assault in Western Australia.,2024/Aug/01,"Abbotsford, Joanne","Pharmacy Department, Perth Children's Hospital.",None
38661649,Predictors of serostatus nondisclosure in mothers living with human immunodeficiency virus receiving a disclosure intervention: Analysis of a randomized clinical trial intervention arm.,2024,None,None,None
38527362,Could late-latent syphilis be treated with a single subcutaneous infusion of long-acting penicillin?,2024,"Salman, Sam","Wesfarmers Centre of Vaccines and Infectious Diseases, Telethon Kids Institute, University of Western Australia, Perth, WA, Australia; and Medical School, University of Western Australia, Perth, WA, Australia; and Clinical Pharmacology and Toxicology Unit, PathWest, WA, Australia.",None
38307503,Substance Use Disorders among Adolescents in the United States: 2000-2019.,2024,None,None,None
38010582,In vivo evaluation of the antiretroviral activity of Melia azedarach against small ruminant lentiviruses in goat colostrum and milk.,2024,"Souza, Samara Cristina Rocha; Teixeira, Maria Fátima da Silva","Virology Laboratory (LABOVIR), State University of Ceará, Fortaleza, Ceará, Brazil. samaracr.rocha@gmail.com.; Virology Laboratory (LABOVIR), State University of Ceará, Fortaleza, Ceará, Brazil.",samaracr.rocha@gmail.com.
37605476,Kidney transplantation in people living with human immunodeficiency virus: An overview of the Australian experience.,2024,None,None,None
37406056,The risk of mother-to-child transmission of hepatitis B virus infection in Ethiopia: A systematic review and meta-analysis.,2023/Jun/30,None,None,None
37345710,Sexual decision making of Ugandan young adults: findings from national online discussions.,2024,"Villalobos, Jennifer Paola; Bull, Sheana S","mHealth Impact Lab, Colorado School of Public Health, Aurora, CO, USA.; mHealth Impact Lab, Colorado School of Public Health, Aurora, CO, USA.",None
37172767,Complex intervention to promote human papillomavirus (HPV) vaccine uptake in school settings: A cluster-randomized trial.,2023,"Marshall, Helen S; McCaffery, Kirsten; Garland, Suzanne M","Women's and Children's Hospital and School of Medicine and Robinson Research Institute, The University of Adelaide, SA, Australia.; Sydney Health Literacy Lab, School of Public Health, Faculty of Medicine and Health, The University of Sydney, NSW, Australia.; Centre Women's Infectious Diseases Research, The Royal Women's Hospital, Melbourne, Victoria, Australia; Reproductive and Neonatal Infectious Diseases, Department of Obstetrics and Gynaecology, University of Melbourne, Murdoch Children's Research Institute, Victoria, Australia.",Cristyn.Davies@sydney.edu.au.
37077524,Gene dysregulation in acute HIV-1 infection - early transcriptomic analysis reveals the crucial biological functions affected.,2023,None,None,None
37041572,Understanding coping strategies of mothers living with HIV who care for children living with HIV: a qualitative study in Indonesia.,2023/Apr/11,"Hawke, Karen","Women and Kids theme, Aboriginal Health, South Australian Health and Medical Research Institute, Adelaide, Australia.",hailushepi@gmail.com.
36988578,Travel-associated lineages and unique endemic antimicrobial-susceptible lineages of ,2023,"Pearson, Julie C; Coombs, Geoffrey W","Department of Microbiology, PathWest Laboratory Medicine-WA, Fiona Stanley Hospital, Murdoch, Australia.; Antimicrobial Resistance and Infectious Diseases Research Laboratory, Murdoch University, Murdoch, Australia.",None
36543946,The Prevalence of HIV Infection in Minority Indigenous Populations of the South-East Asia and Western Pacific Regions: A Systematic Review and Meta-analysis.,2023,None,None,beth.gilmour@postgrad.curtin.edu.au.
36529768,"Mapping age- and sex-specific HIV prevalence in adults in sub-Saharan Africa, 2000-2018.",2022/Dec/19,"Ancuceanu, Robert; Bhagavathula, Akshaya Srikanth; Charan, Jaykaran; Dorostkar, Fariba; Fernandes, Eduarda; Haj-Mirzaian, Arvin; Hayat, Khezar; Liu, Xuefeng; Naimzada, Mukhammad David; Naveed, Muhammad; Negoi, Ionut; Onwujekwe, Obinna E; Otstavnov, Nikita; Otstavnov, Stanislav S; Ramezanzadeh, Kiana; Ranabhat, Chhabi Lal; Sathian, Brijesh","Pharmacy Department, Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Department of Social and Clinical Pharmacy, Charles University, Hradec Kralova, Czech Republic.; Department of Pharmacology, All India Institute of Medical Sciences, Jodhpur, India.; Department of Medical Laboratory Sciences, Iran University of Medical Sciences, Tehran, Iran.; Associated Laboratory for Green Chemistry (LAQV), University of Porto, Porto, Portugal.; Department of Pharmacology, Shahid Beheshti University of Medical Sciences, Tehran, Iran.; Institute of Pharmaceutical Sciences, University of Veterinary and Animal Sciences, Lahore, Pakistan.; Lerner Research Institute, Cleveland Clinic, Cleveland, OH, USA.; Laboratory of Public Health Indicators Analysis and Health Digitalization, Moscow Institute of Physics and Technology, Dolgoprudny, Russia.; Department of Biotechnology, University of Central Punjab, Lahore, Pakistan.; Department of General Surgery, Carol Davila University of Medicine and Pharmacy, Bucharest, Romania.; Department of Pharmacology and Therapeutics, University of Nigeria Nsukka, Enugu, Nigeria.; Laboratory of Public Health Indicators Analysis and Health Digitalization, Moscow Institute of Physics and Technology, Dolgoprudny, Russia.; Laboratory of Public Health Indicators Analysis and Health Digitalization, Moscow Institute of Physics and Technology, Dolgoprudny, Russia.; Department of Pharmacology, Shahid Beheshti University of Medical Sciences, Tehran, Iran.; Research Department, Policy Research Institute, Kathmandu, Nepal.; Geriatric and Long Term Care Department, Hamad Medical Corporation, Doha, Qatar.",ehaeuser@uw.edu.
36041016,Rifapentine With and Without Moxifloxacin for Pulmonary Tuberculosis in People With Human Immunodeficiency Virus (S31/A5349).,2023/Feb/08,"Podany, Anthony T","Department of Pharmacy Practice and Science, University of Nebraska Medical Center, Omaha, Nebraska, USA.",None
35770844,Novel small molecules that increase the susceptibility of Neisseria gonorrhoeae to cationic antimicrobial peptides by inhibiting lipid A phosphoethanolamine transferase.,2022/Aug/25,"Scanlon, Martin J","Medicinal Chemistry, Monash Institute of Pharmaceutical Sciences, Monash University, Melbourne, Australia.",None
35572509,Evolving Strategies to Eliminate the CD4 T Cells HIV Viral Reservoir ,2022,None,None,None
35217531,"Spatial codistribution of HIV, tuberculosis and malaria in Ethiopia.",2022,None,None,KEFYALEW.ALENE@curtin.edu.au.
35195722,Implementing a multisite efficacy trial to facilitate maternal disclosure to children: the TRACK HIV Disclosure Intervention.,2022/May/26,None,None,None
34972227,Practice Facilitation Improves Adolescent Reproductive Health Preventive Services in Primary Care.,2022/Jan/01,None,None,None
34878128,Calling Future Grandparents-Further Efforts Required to Increase Human Papillomavirus Vaccination Use in Adolescence.,2022/Feb/23,None,None,None
34696745,Understanding parents' views toward the newly enacted HPV vaccine school entry policy in Puerto Rico: a qualitative study.,2021/Oct/25,None,None,vivian.colon@upr.edu.
34541715,Syringe services programs in the Bluegrass: Evidence of population health benefits using Kentucky Medicaid data.,2022,None,None,None
34328442,Supporting Patient-Clinician Interaction in Chronic HIV Care: Design and Development of a Patient-Reported Outcomes Software Application.,2021/Jul/30,None,None,None
34127299,School-based HPV vaccination positively impacts parents' attitudes toward adolescent vaccination.,2021/Jul/05,"Parrella, Adriana; McCaffery, Kirsten; Marshall, Helen S","Women's and Children's Health Network and School of Medicine and Robinson Research Institute, University of Adelaide, SA, Australia; South Australian Health and Medical Research Institute (SAHMRI), Adelaide, Australia.; Sydney School of Public Health, Faculty of Medicine and Health, Sydney Health Literacy Lab, University of Sydney, NSW, Australia.; Women's and Children's Health Network and School of Medicine and Robinson Research Institute, University of Adelaide, SA, Australia.",Cristyn.Davies@sydney.edu.au.
33963477,"A Pilot RCT Evaluating InThistoGether, an mHealth HIV Prevention Program for Ugandan Youth.",2021,None,None,Michele@InnovativePublicHealth.org.
33941740,In Reply: The Issue of Body Mass Index Increase in Adolescents Living With HIV on ART.,2021/Aug/01,None,None,None
33847305,"Increase in Body Mass Index in Children With HIV, Switched to Tenofovir Alafenamide Fumarate or Dolutegravir Containing Antiretroviral Regimens.",2021/May/01,None,None,None
33726734,Importance of support groups to the health and well-being of vulnerable children and young people living with HIV: a case study of the Kids Clubs program in Haiti.,2021/Mar/16,None,None,susan.settergren@thepalladiumgroup.com.
33705165,Multisite longitudinal efficacy trial of a disclosure intervention (TRACK) for HIV+ mothers.,2021,None,None,None
33376164,Poor treatment outcomes of children on highly active antiretroviral therapy: protocol for a systematic review and meta-analysis.,2020/Dec/29,None,None,kedasmar@gmail.com.
33314189,The impact of cytokine levels in young South African children with and without HIV-associated acute lower respiratory infections.,2021,None,None,None
33067377,Innate Immune Responses and Gut Microbiomes Distinguish HIV-Exposed from HIV-Unexposed Children in a Population-Specific Manner.,2020/Nov/15,"Côté, Hélène C F; Esser, Monika","Department of Pathology and Laboratory Medicine, The University of British Columbia, Vancouver, British Columbia V6T 1Z7, Canada.; The Immunology Unit, Division of Medical Microbiology, Department of Pathology, National Health Laboratory Service, Stellenbosch University, Cape Town 7505, South Africa.",n.akuvy@gmail.com
32709432,Adverse events following HPV vaccination: 11 years of surveillance in Australia.,2020/Aug/27,None,None,aphi7007@uni.sydney.edu.au.
32434906,Clinical characteristics and outcomes for paediatric patients admitted with congenital or acquired syphilis: a population-based cohort study.,2020,None,None,brett.edwards@ahs.ca.
32408754,Treatment Experience and Repeat Pregnancy Impact the Effectiveness of Non-Nucleoside Reverse Transcription Inhibitor-Highly Active Antiretroviral Therapy for the Prevention of Mother to Child Transmission of Human Immunodeficiency Virus.,2020,"Martin, Indira B; Harrigan, Richard; Gomez, M Perry","Reference Lab, The Bahamas Ministry of Health, Nassau, Bahamas.; Research Laboratory, British Columbia Centre for Excellence in HIV/AIDS, Vancouver, Canada.; Reference Lab, The Bahamas Ministry of Health, Nassau, Bahamas.",None
32301922,Maternal HIV Infection Alters Antimicrobial Immunity in Exposed and Uninfected Infants.,2020,None,None,None
32245644,Effect of a school-based educational intervention on HPV and HPV vaccine knowledge and willingness to be vaccinated among Chinese adolescents : a multi-center intervention follow-up study.,2020/Apr/29,"Zhang, Xi","Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education/Beijing), Beijing Office for Cancer Prevention and Control, Peking University Cancer Hospital & Institute, Beijing 100142, China.",lijingwcph@scu.edu.cn.
32173028,New genetic predictors for abacavir tolerance in HLA-B*57:01 positive individuals.,2020,"Thorborn, Daren; Shaefer, Mark","Celgene Corporation, NJ, USA.; ViiV Healthcare at Research Triangle Park, NC, USA.",elizabeth.j.phillips@vumc.org.
32072385,"Iterative Development of In This toGether, the First mHealth HIV Prevention Program for Older Adolescents in Uganda.",2020,None,None,Michele@InnovativePublicHealth.org.
32016437,Utilization of Healthcare Resources by HIV-Positive Children in the United States: A National Perspective.,2020,None,None,None
31805149,Spatial patterns of tuberculosis and HIV co-infection in Ethiopia.,2019,None,None,None
31714357,Impact of HIV and antiretroviral drug exposure on lung growth and function over 2 years in an African Birth Cohort.,2020/Mar/15,None,None,None
